State,Population
Alabama,214
Alaska,126
Arizona,1145
Arkansas,120
California,19297
Colorado,830
Connecticut,7184
Delaware,455
District of Columbia,338
Florida,7338
Georgia,517
Hawaii,138
Idaho,191
Illinois,15449
Indiana,825
Iowa,374
Kansas,317
Kentucky,332
Louisiana,471
Maine,570
Maryland,1995
Massachusetts,23155
Michigan,3715
Minnesota,864
Mississippi,182
Missouri,1274
Montana,239
Nebraska,219
Nevada,474
New Hampshire,726
New Jersey,15873
New Mexico,236
New York,66639
North Carolina,492
North Dakota,102
Ohio,3856
Oklahoma,285
Oregon,982
Pennsylvania,11167
Rhode Island,1758
South Carolina,314
South Dakota,96
Tennessee,286
Texas,2182
Utah,152
Vermont,201
Virginia,1409
Washington,1623
West Virginia,175
Wisconsin,734
Wyoming,181
