years,place,lat,lon
8000,Turlock - California,37.494656,-120.846596
8000,Columbia - Tuolumne County - California,38.032270,-120.402419
8000,Central Valley - California,38.000000,-121.400000
8000,Camino - California,38.738060,-120.674339
8000,Shasta County - California,40.796512,-121.997919
8000,Ortonville - Iowa,41.614988,-93.959673
8000,Springfield - Vermont,43.298698,-72.482986
8000,Quebec- Vermont,45.514272,-73.901266
8000,East Bethel- Vermont,43.873400,-72.584268
8000,Chelsea- Vermont,43.988862,-72.448654
8000,East Calais - Vermont,44.366446,-72.429828
8000,Walpole - New Hampshire,43.079922,-72.425995
8000,Oneida County - Wisconsin,45.687916,-89.477956
8000,Nova Scotia - Canada,45.140579,-62.560909
8000,Mahone Bay -Nova Scotia - Canada,44.448893,-64.387173
8000,Glenolden - Pennsylvania,39.900113,-75.289075
8000,Rush - Susqene County - Pennsylvania,41.783409,-76.046314
8000,Maine,45.367584,-68.972168
8000,Forsyth - Montana,46.266384,-106.677812
8000,Broadus - Montana,45.443881,-105.407490
8000,Butte - Montana,46.012840,-112.535583
8000,Library of Congress - Washington DC,38.889484,-77.035278
8000,32 Broadway - New York,40.705787,-74.012713
8000,Chicago - Illinois,41.878113,-87.629799
8000,Glen Lyn - Giles County - Virginia,37.368176,-80.864246
