State,Population
Alabama,2604
Arizona,1188
Arkansas,2021
California,61472
Colorado,15131
Connecticut,77880
Delaware,6121
District of Columbia,7224
Florida,1056
Georgia,3374
Idaho,1939
Illinois,124498
Indiana,20819
Iowa,37353
Kansas,15870
Kentucky,13926
Louisiana,9236
Maine,11444
Maryland,18735
Massachusetts,259962
Michigan,39965
Minnesota,28011
Mississippi,1865
Missouri,40966
Montana,6648
Montana,6048
Nebraska,15963
Nevada,1503
New England,
New Hampshire,14890
New Jersey,101059
New Mexico,1418
New York,483375
North Carolina,451
North Dakota,2967
Ohio,70127
Oklahoma,329
Oregon,12475
Pennsylvania,243836
Rhode Island,38920
South Carolina,1665
South Dakota,4774
State,1890
Tennessee,5016
Texas,8201
Utah,2121
Vermont,9810
Virginia,4578
Washington,15390
West Virginia,4799
Wisconsin,33306
Wyoming,2037
