years,place,lat,lon,pos
1930,WPA California Folk Music Project Collection (1937-38-39) - Turlock - California,37.494656,-120.846596,A307
1930,WPA California Folk Music Project Collection (1937-38-39) - Columbia - Tuolumne County - California,38.032270,-120.402419,A310
1930,WPA California Folk Music Project Collection (1937-38-39) - Central Valley - California,38.000000,-121.400000,A311
1930,WPA California Folk Music Project Collection (1937-38-39) - Camino - California,38.738060,-120.674339,A312
1930,WPA California Folk Music Project Collection (1937-38-39) - Shasta County - California,40.796512,-121.997919,A320
1930,WPA California Folk Music Project Collection (1937-38-39) - Ortonville - Iowa,41.614988,-93.959673,A323
1930,Alan Lomax and Helen Hartness Flanders recordings from New Hampshire and Vermont (1939) - Springfield - Vermont,43.298698,-72.482986,A325
1930,Alan Lomax and Helen Hartness Flanders recordings from New Hampshire and Vermont (1939) - Quebec- Vermont,45.514272,-73.901266,A336
1930,Alan Lomax and Helen Hartness Flanders recordings from New Hampshire and Vermont (1939) - East Bethel- Vermont,43.873400,-72.584268,A337
1930,Alan Lomax and Helen Hartness Flanders recordings from New Hampshire and Vermont (1939) - Chelsea- Vermont,43.988862,-72.448654,A339
1930,Alan Lomax and Helen Hartness Flanders recordings from New Hampshire and Vermont (1939) - East Calais - Vermont,44.366446,-72.429828,A340
1930,Alan Lomax and Helen Hartness Flanders recordings from New Hampshire and Vermont (1939) - Walpole - New Hampshire,43.079922,-72.425995,A342
1930,Robert F Draves and Helene Stratman-Thomas collection of Wisconsin recordings (1937-1946) - Oneida County - Wisconsin,45.687916,-89.477956,A259
1940,Helen Creighton National Museum of Canada recording project (1943-44) - Nova Scotia - Canada,45.140579,-62.560909,A264
1940,Helen Creighton National Museum of Canada recording project (1943-44) - Mahone Bay -Nova Scotia - Canada,44.448893,-64.387173,A264
1970,Alan Jabbour recordings of Jehile Kirkhuff and John Vesey (1970) - Glenolden - Pennsylvania,39.900113,-75.289075,A77
1970,Alan Jabbour recordings of Jehile Kirkhuff and John Vesey (1970) - Rush - Susqene County - Pennsylvania,41.783409,-76.046314,A77
1970,Montana Folklife Survey (1979) -Forsyth - Montana,46.266384,-106.677812,A196
1970,Montana Folklife Survey (1979) - Broadus - Montana,45.443881,-105.407490,A197
1970,Montana Folklife Survey (1979) - Butte - Montana,46.012840,-112.535583,A198
1970,Ed McDermott Recording Project (1970) - Library of Congress - Washington DC,38.889484,-77.035278,A27
1990,Center for Traditional Music and Dance (1991) - 32 Broadway - New York,40.705787,-74.012713
1900,Francis O'Neill Cylinders (c.1903) - Chicago - Illinois,41.878113,-87.629799,A153
1970,Alan Jabbour duplication project part 1 (1966-67) - Glen Lyn - Giles County - Virginia,37.368176,-80.864246,A185
1970,Philadelphia Céilí Group (1977-1983) - Philadelphia - Pennsylvania,39.952583,-75.165222,A345
