State,Population
Alabama,1792
Alaska,677
Arizona,1159
Arkansas,1345
California,44476
Colorado,10132
Connecticut,70994
Delaware,5044
District of Columbia,6220
Florida,797
Georgia,2293
Hawaii,225
Idaho,1633
Illinois,114563
Indiana,16806
Iowa,28321
Kansas,11516
Kentucky,9874
Louisiana,6486
Maine,10159
Maryland,13874
Massachusetts,249916
Michigan,29182
Minnesota,22428
Mississippi,1264
Missouri,81832
Montana,9436
Nebraska,11127
Nevada,1425
New Hampshire,13547
New Jersey,94844
New Mexico,692
New York,425553
North Carolina,371
North Dakota,2670
Ohio,55018
Oklahoma,987
Oregon,4210
Pennsylvania,205909
Rhode Island,35501
South Carolina,1131
South Dakota,3298
Tennessee,3872
Texas,6173
Utah,1516
Vermont,7453
Virginia,3534
Washington,7262
West Virginia,3342
Wisconsin,23544
Wyoming,1591
